Model,Encoder,Test Accuracy,Test Precision
nn,scaler,0.6065822784810126,0.5988782630934932
svm,scaler,0.5569620253164557,0.5332896800242778
svm,identity,0.550379746835443,0.5591528008437443
nn,identity,0.4718987341772152,0.4445154361738064
nn,minmax,0.46936708860759496,0.4501044042279763
svm,minmax,0.4607594936708861,0.5332095099728886
ridge,scaler,0.44354430379746834,0.41752460836028243
ridge,minmax,0.44151898734177214,0.41321709196054984
ridge,identity,0.42632911392405065,0.30105248648065064
