Model,Encoder,Test RMSE
nn,scaler,0.5219655694717672
svm,scaler,0.5974981438748282
nn,minmax,0.6312719604279563
svm,minmax,0.6872370515990561
ridge,minmax,0.7385202451975463
ridge,identity,0.7455222779992702
ridge,scaler,0.7455567442814779
nn,identity,0.7835928849710883
svm,identity,1.1541280440812771
