Model,Encoder,Test Accuracy,Test Precision
nn,scaler,0.7001019887812341,0.6998123204790573
svm,scaler,0.6966343702192759,0.6974008052801284
nn,identity,0.6893931667516573,0.6891806934376162
nn,minmax,0.6865884752677206,0.6918865470009854
svm,identity,0.6684344722080571,0.6710164711274643
svm,minmax,0.6467108618052014,0.6516458370289308
ridge,scaler,0.6389597144314125,0.6399268320288208
ridge,identity,0.6388577256501785,0.639819869937157
ridge,minmax,0.6383987761346251,0.6393150408069388
