Model,Encoder,Test RMSE
nn,scaler,42149.19839440959
nn,minmax,43639.827473664474
ridge,scaler,45690.67268559714
ridge,minmax,45702.12375078416
ridge,identity,45913.985543091825
svm,scaler,55394.353848382
svm,minmax,55571.72641225148
svm,identity,55631.63327102829
nn,identity,72452.47674228715
