Model,Encoder,Test Accuracy,Test Precision
nn,minmax,0.7998545572074984,0.8030686956632977
nn,identity,0.7945216548157724,0.7957028943941501
nn,scaler,0.7906431803490627,0.7893316249014661
svm,scaler,0.7821590174531351,0.7858462701537605
svm,identity,0.7820782159017453,0.7862100471258809
svm,minmax,0.7808661926308985,0.7822649483449284
ridge,minmax,0.7198610213316096,0.6967543336599693
ridge,scaler,0.7198610213316096,0.6976707500217199
ridge,identity,0.7198610213316096,0.6976707500217199
