Model,Encoder,Test Accuracy,Test Precision
svm,scaler,0.8605793837649708,0.8542166630380357
nn,minmax,0.8543351417750026,0.8477039246357153
svm,minmax,0.8467601596888116,0.8386408870719878
ridge,minmax,0.8456341488381616,0.8372539334066161
ridge,scaler,0.8454294195925888,0.8370090299841968
nn,scaler,0.8397993653393387,0.841793381004668
ridge,identity,0.8340669464633023,0.8235048461121418
svm,identity,0.8034599242501791,0.8340862629361349
nn,identity,0.8031528303818201,0.790855597925504
